hotel_name,zip,lat_long
"Residence Inn New York Manhattan/Central Park, New York",10019,"['40.764265', '-73.982452']"
"Four Points by Sheraton Midtown-Times Square, New York",10018,"['40.756587', '-73.992239']"
"Sanctuary NYC Retreats, New York",10002,"['40.719832', '-73.983133']"
"Royalton Park Avenue, New York",10016,"['40.743857', '-73.983766']"
"Roxy Hotel Tribeca, New York",10013,"['40.71905', '-74.00519']"
"Beekman Tower Two Bedroom Suite 2 Bedrooms 1 Bathroom Apts, New York",10017,"['40.7534', '-73.9662']"
"Sonder - Wall Street, New York",10004,"['40.7068', '-74.011383']"
"Marrakech Hotel New York City, New York",10025,"['40.79895', '-73.96853']"
"Times Square Home, New York",10019,"['40.763554', '-73.985191']"
"Skyline Hotel, New York",10019,"['40.76425', '-73.9921']"
"Manhattan Inwood West Side Broadway, New York",10034,"['40.868162', '-73.924919']"
"Upper West Side Sugarhill, New York",10031,"['40.827829', '-73.942004']"
"Club Quarters Hotel, Grand Central, New York",10017,"['40.753248', '-73.974406']"
"Hotel Richland New York, New York",10002,"['40.714713', '-73.993107']"
"The Time New York, New York",10019,"['40.761116', '-73.985292']"
"Midtown East 1BR with Private Balcony DR#26, New York",10022,"['40.757178', '-73.968146']"
"Hotel Giraffe by Library Hotel Collection, New York",10016,"['40.74214', '-73.98489']"
"Midtown East 1BR Six DR27, New York",10022,"['40.757178', '-73.968146']"
"Baccarat Hotel and Residences New York, New York",10019,"['40.760949', '-73.977178']"
"Beekman Tower One Bedroom Suite 1 Bedroom 1 Bathroom Apts, New York",10017,"['40.753401', '-73.966174']"
"Collective Governors Island, New York",10004,"['40.689798', '-74.022441']"
"The Marmara Park Avenue, New York",10016,"['40.745264', '-73.981634']"
"The Library Hotel by Library Hotel Collection, New York",10017,"['40.75219', '-73.97973']"
"WeLive Wall Street, New York",10038,"['40.704903', '-74.006417']"
"NY093 0 Bedroom Studio By Senstay, New York",10014,"['40.73097', '-74.00587']"
"318 East 59th Street #1b. 197 2 Bedrooms 1 Bathroom Apts, New York",10022,"['40.760083', '-73.963448']"
"Hotel Wales, New York",10128,"['40.785006', '-73.955795']"
"Concorde Hotel New York, New York",10022,"['40.75991', '-73.97047']"
"Aloft Harlem, New York",10039,"['40.80921', '-73.95184']"
"DoubleTree by Hilton New York City - Chelsea, New York",10001,"['40.747162', '-73.991284']"
"Manhattan Bowery Lodge, New York",10002,"['40.71673', '-73.99567']"
"Eurostars Wall Street, New York",10038,"['40.70523', '-74.00638']"
"Holiday Inn Manhattan-Financial District, New York",10006,"['40.708333', '-74.014356']"
"The Times Square EDITION, New York",10036,"['40.75917', '-73.98411']"
"Loews Regency New York Hotel, New York",10065,"['40.764458', '-73.968852']"
"Warwick New York, New York",10019,"['40.762256', '-73.978264']"
"Fairfield Inn & Suites New York Midtown Manhattan/Penn Station, New York",10001,"['40.752083', '-73.995273']"
"NY060 1 Bedroom Apartment By Senstay, New York",10014,"['40.73554', '-74.00574']"
